,index,jian_flag_all,pred_label,問題なしの確率（0）,問題ありの確率（1）,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,20_p_num,ID,flag1（前後重複70%以上）,flag2（欠測有無）,flag3（保護者不同意）,flag4（デスクトップPC実施）,flag5（特支学級）,flag6（IAT誤答率20%以上）,SchoolNumber,SchoolClass,PersonalNumber,StudentAge,IAT_pattern,IAT_po,IAT_ne,IAT,IAT1_error,IAT2_error,IAT_Q1,IAT_Q2,IAT_Q3,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,ss1,ss2,ss3,ss4,ss5,ss6,cu1,cu2,cu3,cu4,cu5,cu6,cu7,md1,md2,md3,md4,md5,md6,md7,md8,md9,md10,md11,cd1,cd2,cd3,cd4,cd5,cd6,cd7,cd8,cd9,cd10,cd11,ab1,ab2,ab3,ab4,ab5,ab6,ab7,ab8,pr1,pr2,pr3,pr5,pr6,pr7,pr9,pr10,pr11,pr13,pr14,pr15,pr17,pr18,pr19,pr4,pr8,pr12,pr16,tl1,tl4,tl6,tl8,tl9,tl11,tl13,tl15,tl17,tl2,tl3,tl5,tl7,tl10,tl12,tl14,tl16,fr1,fr3,fr5,fr7,fr9,fr2,fr4,fr6,fr8,ce1,ce2,ce3,ce4,ce5,ce6,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps8,ps9,ps10,self_control,sensation_seeking,callous_unemotional,moral_disengagement,cognitive_distortion,aggression_belief,acceptance,psychological_control,monitoring,family_violence,goal_achievement,group_maintenance,good_friendship,bad_friendship,informal_control,social_cohesion,self_control_after,sensation_seeking_after,callous_unemotional_after,moral_disengagement_after,cognitive_distortion_after,aggression_belief_after,acceptance_after,psychological_control_after,monitoring_after,family_violence_after,goal_achievement_after,group_maintenance_after,good_friendship_after,bad_friendship_after,informal_control_after,social_cohesion_after,season,mondai,hutoukou,ijime,mondai_after,hutoukou_after,ijime_after,jian_flag_half,cluster,cluster_replace,cluster_after,cluster_after_replace,cluster_naimen,cluster_naimen_replace,cluster_naimen_after,cluster_naimen_after_replace,StudentGender_1,StudentGender_2,SchoolGrade_4,SchoolGrade_5,SchoolGrade_6,SchoolGrade_7,SchoolGrade_8,SchoolGrade_9,gakku_1,gakku_10,gakku_11,gakku_12,gakku_13,gakku_14,gakku_15,gakku_16,gakku_17,gakku_18,gakku_19,gakku_2,gakku_20,gakku_21,gakku_22,gakku_3,gakku_4,gakku_5,gakku_6,gakku_7,gakku_8,gakku_9,jian_flag_all
2,2,0,0.0,0.7300659494161227,0.2699340505838773,24787,24787,24787,c6_7416,27466,0,0,0,0,0,0,c6,4,16,13,4,7.13089883,6.767993337,-0.362905494,0.0,0.0,3,4,4,2,2,2,2,3,1,2,2,3,2,4,4,4,1,4,3,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,1,1,1,4,3,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,1,1,4,4,4,4,4,4,3,2,3,3,2,3,3,2,1,3,15,18,10,11,12,8,9,6,4,4,8,9,6,4,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,6,2,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,4,0,0.0,0.7754744131417017,0.22452558685829827,380,380,380,c10_7210,451,0,0,0,0,0,1,c10,2,10,12,4,7.60090246,7.13089883,-0.470003629,0.0,45.45454545,4,4,3,1,2,1,1,4,1,1,3,2,3,3,4,4,4,2,2,2,4,4,3,4,6,1,1,1,1,1,1,1,1,1,1,3,1,4,2,3,1,1,2,2,2,1,3,4,3,4,3,3,4,4,4,3,3,1,3,3,1,2,2,3,4,1,3,4,4,1,2,1,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,2,2,1,1,4,4,3,3,3,4,1,4,4,1,2,3,1,2,4,11,20,14,16,22,12,13,13,4,6,15,16,5,8,6,6,8.0,11.0,7.0,11.0,11.0,8.0,6.0,6.0,3.0,4.0,12.0,10.0,5.0,4.0,3.0,3.0,1,0,0,0,0.0,0.0,0.0,0,4,6,3.0,1.0,5,8,8.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0.0,0.75725582662199,0.24274417337800985,32453,32453,32453,s36_4216,36267,0,0,0,0,0,0,s36,2,16,10,4,7.1507014579999995,6.998269287,-0.152432171,10.52631579,6.25,4,3,4,1,1,1,1,4,1,1,2,4,4,1,4,4,1,4,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,3,4,1,1,1,1,3,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,1,4,4,2,2,2,1,4,1,9,18,9,11,11,9,6,6,4,4,14,12,6,5,3,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,6,2,,,9,5,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0.0,0.8521504709176586,0.14784952908234153,20300,20300,20300,c15_9129,22625,0,0,0,0,0,0,c15,1,29,14,1,6.812445099,6.684611727999999,-0.127833372,0.0,7.692307692000001,4,3,4,2,2,1,3,2,1,2,3,4,1,3,2,1,1,4,4,4,2,4,4,4,1,2,2,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,3,1,1,2,4,3,4,4,4,4,4,4,3,2,3,3,2,3,2,3,2,2,2,1,4,3,4,1,2,1,2,3,4,4,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,4,1,1,2,2,3,3,4,4,4,4,4,2,3,1,4,4,3,1,1,3,17,12,9,14,17,9,14,12,4,6,13,16,8,6,5,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,5,8,,,9,5,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0.0,0.802656106283532,0.19734389371646804,22872,22872,22872,c22_7601,25411,0,0,0,0,0,0,c22,6,1,13,2,7.1507014579999995,6.725433722000001,-0.425267735,0.0,6.25,4,3,4,2,3,1,2,4,1,2,3,3,1,1,2,3,1,4,4,4,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,4,1,4,3,4,1,2,1,2,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,1,1,2,1,4,3,4,4,3,3,4,2,3,3,1,1,1,2,2,2,15,11,9,11,11,8,6,10,4,6,12,10,5,5,4,5,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,8,1,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,16,0,0.0,0.7309868888321127,0.2690131111678874,5639,5639,5639,c22_9440,6217,0,0,0,0,0,0,c22,4,40,14,4,7.013115795,6.684611727999999,-0.328504067,0.0,0.0,3,3,4,2,3,2,3,3,2,3,2,3,2,1,2,3,2,4,4,4,3,3,3,3,1,2,2,1,1,3,1,4,2,1,1,2,2,2,4,1,1,1,1,2,1,2,3,3,3,4,4,3,3,4,4,3,4,4,3,3,2,2,1,2,2,1,3,2,4,2,2,1,1,4,3,4,3,3,4,3,4,4,3,4,4,3,2,4,4,4,4,4,4,3,4,2,1,2,2,3,2,3,4,4,4,4,2,2,3,4,3,4,2,2,4,19,13,11,19,19,13,9,10,6,6,12,13,6,7,7,3,24.0,11.0,15.0,19.0,18.0,11.0,13.0,15.0,6.0,6.0,12.0,14.0,9.0,5.0,8.0,4.0,1,0,0,0,0.0,0.0,0.0,0,7,4,5.0,8.0,5,8,4.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,19,0,0.0,0.7714546422480509,0.22854535775194904,18057,18057,18057,c1_9337,20132,0,0,0,0,0,0,c1,3,37,15,1,6.917234023,6.613152764,-0.304081259,14.28571429,13.79310345,3,2,2,1,3,1,3,2,1,1,3,2,2,1,1,2,1,3,3,3,2,3,3,3,4,3,3,1,4,2,2,4,4,2,1,4,1,1,2,1,1,1,2,1,2,2,4,4,4,4,4,4,4,4,3,3,2,3,3,2,1,1,1,1,1,1,1,2,3,1,1,1,3,1,2,2,3,3,2,3,3,3,2,3,2,3,3,3,3,3,4,4,4,4,4,1,1,1,1,3,3,3,3,3,3,3,2,3,2,3,2,4,2,1,4,16,9,15,30,18,8,14,6,9,6,18,23,5,4,6,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,5,8,,,9,5,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0.0,0.7480070299309084,0.2519929700690915,31029,31029,31029,s29_5112,34576,0,0,0,0,0,1,s29,1,12,11,3,6.812445099,6.461468176,-0.350976923,0.0,35.0,4,2,3,2,3,2,3,3,2,2,2,2,2,1,2,3,2,4,4,4,3,4,4,3,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,4,1,1,1,1,2,4,4,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,4,4,4,4,2,1,1,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,18,12,9,18,12,8,6,6,3,4,18,20,6,6,8,6,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,7,4,,,2,3,,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0.0,0.7450364735107391,0.254963526489261,13724,13724,13724,s30_5128,15318,0,0,0,0,0,0,s30,1,28,10,3,7.215239979,6.723832441,-0.491407538,6.666666667,8.0,4,2,4,3,3,2,2,3,2,2,2,3,2,4,3,4,1,3,4,2,4,3,3,4,1,2,4,1,1,1,2,5,1,1,1,2,1,1,3,1,1,1,1,1,2,2,4,4,4,4,3,4,4,4,3,4,4,4,4,3,1,3,1,1,2,1,4,4,3,1,1,1,2,3,2,3,2,2,2,3,2,2,3,2,3,3,2,3,3,3,4,3,4,4,4,2,1,1,1,2,2,3,3,2,3,4,2,3,3,3,2,3,4,2,3,18,17,12,20,16,9,8,9,4,5,18,24,6,5,8,7,20.0,18.0,12.0,22.0,18.0,10.0,11.0,11.0,5.0,8.0,19.0,23.0,8.0,8.0,9.0,7.0,1,0,0,0,0.0,0.0,0.0,0,7,4,5.0,8.0,9,5,7.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0.0,0.8140992171576811,0.18590078284231903,35072,35072,35072,s7_6104,39064,0,0,0,0,0,1,s7,1,4,12,3,6.797940412999999,6.742880636000001,-0.055059777000000004,24.0,12.0,4,4,4,2,4,1,4,4,2,1,2,1,1,2,1,1,1,4,4,4,3,4,4,2,1,1,1,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,3,4,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,1,1,3,4,4,4,4,1,1,1,1,4,4,4,4,4,4,2,3,4,3,2,4,4,4,4,3,2,3,4,4,3,4,2,1,2,1,4,3,4,4,4,4,4,2,3,4,4,3,3,3,1,4,17,7,10,17,16,8,8,14,3,4,14,12,7,6,4,3,,,,,,,,,,,,,,,,,2,0,0,0,,,,0,1,3,,,2,3,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
