,self_control,sensation_seeking,callous_unemotional,moral_disengagement,cognitive_distortion,aggression_belief,acceptance,psychological_control,monitoring,family_violence,goal_achievement,group_maintenance,good_friendship,bad_friendship,informal_control,social_cohesion,self_control_eva,sensation_seeking_eva,callous_unemotional_eva,moral_disengagement_eva,cognitive_distortion_eva,aggression_belief_eva,acceptance_eva,psychological_control_eva,monitoring_eva,family_violence_eva,goal_achievement_eva,group_maintenance_eva,good_friendship_eva,bad_friendship_eva,informal_control_eva,social_cohesion_eva
0,22,22,11,24,14,8,8,18,7,11,15,18,6,12,3,3,---,---,---,---,---,---,---,---,---,---,---,---,---,2std超えている!,---,---
1,25,24,11,12,17,8,6,15,3,11,8,9,5,6,5,3,---,1std超えている!，2stdは超えていない,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2,15,18,10,11,12,8,9,6,4,4,8,9,6,4,3,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
3,16,17,11,15,20,9,10,12,7,4,16,18,9,8,8,7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4,11,20,14,16,22,12,13,13,4,6,15,16,5,8,6,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
5,18,15,10,11,11,8,7,10,6,4,13,16,6,8,4,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
6,19,13,13,11,12,8,12,6,6,4,9,10,10,6,4,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
7,19,21,15,22,16,8,11,17,5,4,12,16,7,5,9,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
8,21,15,14,17,21,8,6,10,6,6,15,15,10,8,6,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
9,9,18,9,11,11,9,6,6,4,4,14,12,6,5,3,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
10,17,12,9,14,17,9,14,12,4,6,13,16,8,6,5,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
11,15,11,9,11,11,8,6,10,4,6,12,10,5,5,4,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
12,28,14,20,40,39,10,18,10,9,11,16,18,6,10,8,5,1std超えている!，2stdは超えていない,---,1std超えている!，2stdは超えていない,2std超えている!,2std超えている!,---,1std超えている!，2stdは超えていない,---,---,---,---,---,---,1std超えている!，2stdは超えていない,---,---
13,24,20,18,21,21,11,14,11,8,9,14,11,5,6,5,8,---,---,1std超えている!，2stdは超えていない,---,---,---,---,---,---,---,---,---,---,---,---,---
14,18,13,13,17,12,8,7,6,4,4,19,24,5,7,12,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
15,29,23,15,25,24,9,17,18,8,8,16,24,16,14,12,9,1std超えている!，2stdは超えていない,---,---,---,---,---,1std超えている!，2stdは超えていない,---,---,---,---,---,2std超えている!,2std超えている!,---,---
16,19,13,11,19,19,13,9,10,6,6,12,13,6,7,7,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
